row_index,grade,book,topic,topic_id,skill_id,answer_model,family,duplicate_of_earlier_row
231,11,Algebra II / Precalculus,Radical Functions,algebra_ii_precalculus,algebra_ii_precalculus__radical_functions,symbolic,B,
232,11,Algebra II / Precalculus,Exponential Functions,algebra_ii_precalculus,algebra_ii_precalculus__exponential_functions,value,A,
233,11,Algebra II / Precalculus,Logarithms,algebra_ii_precalculus,algebra_ii_precalculus__logarithms,value,A,
234,11,Algebra II / Precalculus,Trigonometric Ratios,algebra_ii_precalculus,algebra_ii_precalculus__trigonometric_ratios,value,A,
235,11,Algebra II / Precalculus,Trigonometric Functions,algebra_ii_precalculus,algebra_ii_precalculus__trigonometric_functions,symbolic,B,
236,11,Algebra II / Precalculus,Sequences and Series,algebra_ii_precalculus,algebra_ii_precalculus__sequences_and_series,value,A,
237,12,Precalculus / Calculus,Limits,precalculus_calculus,precalculus_calculus__limits,value,A,
238,12,Precalculus / Calculus,Differentiation,precalculus_calculus,precalculus_calculus__differentiation,symbolic,B,
239,12,Precalculus / Calculus,Integration,precalculus_calculus,precalculus_calculus__integration,symbolic,B,
240,12,Precalculus / Calculus,Differential Equations,precalculus_calculus,precalculus_calculus__differential_equations,symbolic,B,
241,9-12,Statistics & Advanced Topics,Statistics,statistics_advanced_topics,statistics_advanced_topics__statistics,value,A,
242,9-12,Statistics & Advanced Topics,Probability,statistics_advanced_topics,statistics_advanced_topics__probability,value,A,
243,9-12,Statistics & Advanced Topics,Matrices,statistics_advanced_topics,statistics_advanced_topics__matrices,symbolic,B,
244,9-12,Statistics & Advanced Topics,Vectors,statistics_advanced_topics,statistics_advanced_topics__vectors,symbolic,B,
245,9-12,Statistics & Advanced Topics,Lines and Planes in Space,statistics_advanced_topics,statistics_advanced_topics__lines_and_planes_in_space,symbolic,B,
